cancer_class,subject_cui,pass_all_3,pass_all_3_cancer_types,object_cui,pass_all_3_count
Leukemia,C0218986,"['C0042670', 'C0018513', 'C0851344', 'C0907349', 'C1831796', 'C0005310', 'C0010927', 'C0290883', 'C0051556', 'C4055478', 'C2604307', 'C0011707', 'C0995188', 'C0210657', 'C0048306', 'C2987603', 'C2980094', 'C0025815', 'C3658706', 'C0770560', 'C0005308', 'C0042679', 'C0039607', 'C0025147', 'C1176020', 'C1831828', 'C0005311', 'C0025033', 'C0065175', 'C4086264', 'C0053523', 'C0393022', 'C1700874', 'C0021735', 'C0146224', 'C4726799', 'C0033308', 'C0071836', 'C4519167', 'C4683810', 'C0796392', 'C0011705', 'C0671970', 'C1144149', 'C0016374', 'C2987430', 'C1122962', 'C1516119', 'C0044401', 'C0039601', 'C2352806', 'C0008163', 'C1135135', 'C0672708', 'C0026256', 'C1367202', 'C0117996', 'C4055433', 'C0072980', 'C0541315', 'C0065879', 'C0076189', 'C0039286', 'C0879427', 'C0041920', 'C3853822', 'C0055900', 'C0040867', 'C2973446', 'C4287815', 'C2935436', 'C0005740', 'C0069717', 'C0750848', 'C4079208', 'C1721300', 'C4080091', 'C3657270', 'C2697961', 'C0057992', 'C3899947', 'C0011777', 'C0010583', 'C0218986', 'C0762737', 'C4049146', 'C0040866', 'C1527027', 'C2974289', 'C3818721', 'C0042682', 'C0040864', 'C4056441', 'C0039871', 'C0245194', 'C2698692', 'C0246421', 'C4078312', 'C0076181', 'C4301624', 'C2827667', 'C0013089', 'C0025684', 'C0025677', 'C1135132', 'C4079854', 'C0246415', 'C0728747', 'C1707080', 'C4078806', 'C0016366', 'C2987648', 'C0078257', 'C1130428', 'C4058811', 'C0717670', 'C0016299', 'C0016298', 'C3467876']","[('Breast Cancer',), ('Non-Hodgkin Lymphoma', 'Breast Cancer'), ('Leukemia', 'Lung Cancer', 'Melanoma'), ('Breast Cancer', 'Lung Cancer'), ('Lung Cancer', 'Melanoma'), ('Melanoma',), ('Lung Cancer', 'Kidney Cancer', 'Melanoma'), ('Breast Cancer', 'Kidney Cancer'), ('Leukemia', 'Non-Hodgkin Lymphoma', 'Lung Cancer'), ('Leukemia', 'Melanoma'), ('Lung Cancer',), ('Non-Hodgkin Lymphoma',), ('Leukemia', 'Non-Hodgkin Lymphoma', 'Breast Cancer', 'Lung Cancer'), ('Leukemia', 'Kidney Cancer', 'Melanoma'), ('Leukemia', 'Non-Hodgkin Lymphoma'), ('Kidney Cancer',), ('Non-Hodgkin Lymphoma', 'Kidney Cancer'), ('Colon and Rectal Cancer',), ('Breast Cancer', 'Lung Cancer', 'Kidney Cancer', 'Colon and Rectal Cancer')]",C0860594,119
Leukemia,C0052416,"['C0042682', 'C0053523', 'C0040864', 'C0042670', 'C3853822', 'C0066700', 'C0055900', 'C1328025', 'C4726799', 'C0040867', 'C4056441', 'C4287815', 'C4519167', 'C0025826', 'C0246421', 'C2935436', 'C0796392', 'C0765273', 'C0005310', 'C0750848', 'C0011705', 'C0069717', 'C0671970', 'C1721300', 'C0525079', 'C0040987', 'C4055478', 'C4080091', 'C3657270', 'C0571665', 'C1506770', 'C2604307', 'C0016374', 'C2987430', 'C1122962', 'C1516119', 'C3899947', 'C0995188', 'C1707080', 'C0016366', 'C2713008', 'C0010583', 'C0210657', 'C0044401', 'C0032952', 'C0048306', 'C1135135', 'C0672708', 'C0026256', 'C2980094', 'C0042679', 'C0005308', 'C0039607', 'C0045093', 'C4058811', 'C0025147', 'C1367202', 'C4045494', 'C0117996', 'C1176020', 'C0005311', 'C0717670', 'C4055433', 'C0541315', 'C0039600', 'C2974289', 'C0879427']","[('Lung Cancer',), ('Non-Hodgkin Lymphoma',), ('Kidney Cancer',), ('Breast Cancer',), ('Melanoma',), ('Lung Cancer', 'Kidney Cancer', 'Melanoma'), ('Non-Hodgkin Lymphoma', 'Kidney Cancer'), ('Colon and Rectal Cancer',), ('Breast Cancer', 'Kidney Cancer'), ('Non-Hodgkin Lymphoma', 'Breast Cancer'), ('Leukemia', 'Non-Hodgkin Lymphoma'), ('Breast Cancer', 'Lung Cancer', 'Kidney Cancer', 'Colon and Rectal Cancer'), ('Leukemia', 'Lung Cancer', 'Melanoma'), ('Breast Cancer', 'Lung Cancer')]",C0023487,67
Leukemia,C0003993,"['C1134659', 'C0042670', 'C0066700', 'C0018513', 'C0851344', 'C0907349', 'C0005310', 'C0253355', 'C0010927', 'C0290883', 'C0051556', 'C0571665', 'C2604307', 'C0995188', 'C2713008', 'C3852841', 'C0210657', 'C0032952', 'C0048306', 'C2987603', 'C2980094', 'C0025815', 'C0770560', 'C0042679', 'C0005308', 'C0039607', 'C0025147', 'C1176020', 'C1831828', 'C0005311', 'C0025033', 'C0065175', 'C0020402', 'C4086264', 'C3853921', 'C0053523', 'C0032950', 'C1700874', 'C0021735', 'C0393022', 'C0146224', 'C4726799', 'C0033308', 'C0071836', 'C4519167', 'C4683810', 'C0025826', 'C0796392', 'C0011705', 'C0671970', 'C1144149', 'C1506770', 'C0059874', 'C0016374', 'C2987430', 'C1122962', 'C1516119', 'C0014582', 'C0044401', 'C0039601', 'C1997549', 'C2352806', 'C0008163', 'C0672708', 'C0045093', 'C1367202', 'C0117996', 'C4055433', 'C0072980', 'C0541315', 'C0065879', 'C0076189', 'C0879427', 'C0020268', 'C0016294', 'C0041920', 'C0016360', 'C0056391', 'C3853822', 'C0055900', 'C1328025', 'C2973446', 'C2935436', 'C0765273', 'C0005740', 'C0069717', 'C0750848', 'C1721300', 'C0123931', 'C0525079', 'C4080091', 'C3657270', 'C2697961', 'C2742502', 'C0057992', 'C3181682', 'C3899947', 'C0011777', 'C0010583', 'C0762737', 'C4049146', 'C0040866', 'C1527027', 'C2932486', 'C0120107', 'C2974289', 'C0039600', 'C3818721', 'C0042682', 'C0040864', 'C0144576', 'C4056441', 'C0039871', 'C0245194', 'C2698692', 'C0246421', 'C0076181', 'C0040987', 'C2827667', 'C0013089', 'C0025684', 'C0025677', 'C1135132', 'C4079854', 'C0246415', 'C0728747', 'C0877880', 'C3501358', 'C0016366', 'C1176309', 'C2987648', 'C0078257', 'C1130428', 'C4058811', 'C0051113', 'C0717670', 'C0016299', 'C0016298', 'C1998098', 'C1948068', 'C3467876']","[('Leukemia', 'Non-Hodgkin Lymphoma', 'Lung Cancer'), ('Leukemia', 'Melanoma'), ('Lung Cancer',), ('Non-Hodgkin Lymphoma',), ('Kidney Cancer',), ('Breast Cancer',), ('Melanoma',), ('Lung Cancer', 'Kidney Cancer', 'Melanoma'), ('Leukemia', 'Non-Hodgkin Lymphoma', 'Breast Cancer', 'Lung Cancer'), ('Colon and Rectal Cancer',), ('Breast Cancer', 'Kidney Cancer'), ('Non-Hodgkin Lymphoma', 'Breast Cancer'), ('Leukemia', 'Non-Hodgkin Lymphoma'), ('Breast Cancer', 'Lung Cancer', 'Kidney Cancer', 'Colon and Rectal Cancer'), ('Leukemia', 'Lung Cancer', 'Melanoma'), ('Breast Cancer', 'Lung Cancer')]",C0023449,141
Leukemia,C0004475,"['C4086264', 'C1134659', 'C0042682', 'C0053523', 'C0032950', 'C0016360', 'C0056391', 'C0042670', 'C3853822', 'C0055900', 'C4726799', 'C0039871', 'C0033308', 'C2973446', 'C0071836', 'C4519167', 'C4683810', 'C0025826', 'C0246421', 'C2935436', 'C1831796', 'C0796392', 'C0005310', 'C0765273', 'C0253355', 'C0010927', 'C0069717', 'C0076181', 'C0290883', 'C0051556', 'C0040987', 'C2827667', 'C2697961', 'C4079854', 'C0246415', 'C0011707', 'C1135132', 'C0007257', 'C2987430', 'C1122962', 'C1516119', 'C0877880', 'C0245194', 'C0995188', 'C0014582', 'C1707080', 'C0011777', 'C0016366', 'C1997549', 'C2713008', 'C2987648', 'C0044401', 'C0218986', 'C0025815', 'C1367202', 'C4045494', 'C0117996', 'C1176020', 'C0005311', 'C0120107', 'C0072980', 'C0541315', 'C4287815', 'C1948068', 'C0016294']","[('Lung Cancer',), ('Non-Hodgkin Lymphoma',), ('Kidney Cancer',), ('Breast Cancer',), ('Melanoma',), ('Non-Hodgkin Lymphoma', 'Kidney Cancer'), ('Colon and Rectal Cancer',), ('Breast Cancer', 'Kidney Cancer'), ('Leukemia', 'Kidney Cancer', 'Melanoma'), ('Non-Hodgkin Lymphoma', 'Breast Cancer'), ('Leukemia', 'Non-Hodgkin Lymphoma'), ('Breast Cancer', 'Lung Cancer', 'Kidney Cancer', 'Colon and Rectal Cancer'), ('Leukemia', 'Lung Cancer', 'Melanoma'), ('Breast Cancer', 'Lung Cancer')]",C0023467,65
Leukemia,C0525079,"['C1134659', 'C0042670', 'C0066700', 'C0018513', 'C0851344', 'C0907349', 'C1831796', 'C0005310', 'C0253355', 'C0010927', 'C0290883', 'C0051556', 'C4055478', 'C0571665', 'C2604307', 'C0011707', 'C0995188', 'C3852841', 'C0210657', 'C0032952', 'C0048306', 'C2987603', 'C2980094', 'C0025815', 'C3658706', 'C0770560', 'C0005308', 'C0042679', 'C0039607', 'C0025147', 'C1176020', 'C1831828', 'C0005311', 'C0025033', 'C0065175', 'C0020402', 'C4086264', 'C3853921', 'C0053523', 'C0032950', 'C1700874', 'C0021735', 'C0393022', 'C0146224', 'C4726799', 'C0033308', 'C0071836', 'C4519167', 'C4683810', 'C0025826', 'C0796392', 'C0011705', 'C0671970', 'C1144149', 'C1506770', 'C0059874', 'C0007257', 'C0016374', 'C2987430', 'C1516119', 'C1122962', 'C0014582', 'C0044401', 'C0039601', 'C1997549', 'C2352806', 'C0008163', 'C1135135', 'C0672708', 'C0026256', 'C0045093', 'C1367202', 'C0117996', 'C4055433', 'C0076189', 'C0541315', 'C2986924', 'C0065879', 'C0039286', 'C0879427', 'C0020268', 'C0016294', 'C0041920', 'C0040976', 'C0056391', 'C3853822', 'C0055900', 'C0040867', 'C2973446', 'C4287815', 'C2935436', 'C0765273', 'C0005740', 'C0069717', 'C0750848', 'C4079208', 'C1721300', 'C0002555', 'C0123931', 'C0525079', 'C4080091', 'C3657270', 'C2697961', 'C2742502', 'C0057992', 'C3181682', 'C3899947', 'C0011777', 'C0010583', 'C0218986', 'C0762737', 'C4049146', 'C0040866', 'C1527027', 'C0120107', 'C2974289', 'C0039600', 'C3818721', 'C4726900', 'C0040864', 'C0144576', 'C4056441', 'C0039871', 'C2698692', 'C0246421', 'C4078312', 'C0076181', 'C4301624', 'C0040987', 'C2827667', 'C0013089', 'C0025684', 'C0025677', 'C1135132', 'C4079854', 'C0246415', 'C0728747', 'C0015133', 'C0877880', 'C1707080', 'C3501358', 'C4078806', 'C1176309', 'C0016366', 'C2987648', 'C0078257', 'C1130428', 'C4058811', 'C4045494', 'C0051113', 'C0717670', 'C0016299', 'C0016298', 'C3467876']","[('Leukemia', 'Non-Hodgkin Lymphoma', 'Lung Cancer'), ('Leukemia', 'Melanoma'), ('Lung Cancer',), ('Non-Hodgkin Lymphoma',), ('Kidney Cancer',), ('Breast Cancer',), ('Lung Cancer', 'Melanoma'), ('Melanoma',), ('Lung Cancer', 'Kidney Cancer', 'Melanoma'), ('Leukemia', 'Non-Hodgkin Lymphoma', 'Breast Cancer', 'Lung Cancer'), ('Non-Hodgkin Lymphoma', 'Kidney Cancer'), ('Colon and Rectal Cancer',), ('Breast Cancer', 'Kidney Cancer'), ('Leukemia', 'Kidney Cancer', 'Melanoma'), ('Non-Hodgkin Lymphoma', 'Breast Cancer'), ('Leukemia', 'Non-Hodgkin Lymphoma'), ('Breast Cancer', 'Lung Cancer', 'Kidney Cancer', 'Colon and Rectal Cancer'), ('Breast Cancer', 'Lung Cancer')]",C0023434,154
Leukemia,C0005308,"['C1134659', 'C0042670', 'C0066700', 'C0005310', 'C0010927', 'C0290883', 'C0051556', 'C4055478', 'C0571665', 'C2604307', 'C0011707', 'C0995188', 'C2713008', 'C0210657', 'C0032952', 'C0048306', 'C2980094', 'C0025815', 'C3658706', 'C0770560', 'C0005308', 'C0025147', 'C1176020', 'C1831828', 'C0005311', 'C3853921', 'C0053523', 'C0032950', 'C0393022', 'C0146224', 'C4726799', 'C0033308', 'C0071836', 'C4519167', 'C4683810', 'C0025826', 'C0796392', 'C0011705', 'C0671970', 'C2930789', 'C1144149', 'C0059874', 'C0016374', 'C2987430', 'C1122962', 'C0014582', 'C0044401', 'C0039601', 'C1997549', 'C2352806', 'C0008163', 'C1135135', 'C0672708', 'C0026256', 'C0045093', 'C1367202', 'C0117996', 'C4055433', 'C0541315', 'C0065879', 'C0879427', 'C0016294', 'C0041920', 'C0016360', 'C0056391', 'C3853822', 'C0055900', 'C1328025', 'C0040867', 'C2973446', 'C4287815', 'C2935436', 'C0765273', 'C0069717', 'C0750848', 'C4079208', 'C1721300', 'C0525079', 'C4080091', 'C3657270', 'C2697961', 'C2742502', 'C0057992', 'C3181682', 'C3899947', 'C0010583', 'C0762737', 'C4049146', 'C1527027', 'C2974289', 'C0039600', 'C0042682', 'C0040864', 'C4056441', 'C0039871', 'C0246421', 'C0040987', 'C2827667', 'C0013089', 'C0025684', 'C0025677', 'C4079854', 'C0246415', 'C0728747', 'C0015133', 'C0877880', 'C1707080', 'C4078806', 'C0016366', 'C1176309', 'C2987648', 'C0078257', 'C4058811', 'C4045494', 'C0717670', 'C0016299', 'C0016298', 'C1998098', 'C1948068', 'C3467876']","[('Lung Cancer',), ('Non-Hodgkin Lymphoma',), ('Kidney Cancer',), ('Breast Cancer',), ('Lung Cancer', 'Melanoma'), ('Melanoma',), ('Lung Cancer', 'Kidney Cancer', 'Melanoma'), ('Leukemia', 'Non-Hodgkin Lymphoma', 'Breast Cancer', 'Lung Cancer'), ('Non-Hodgkin Lymphoma', 'Kidney Cancer'), ('Colon and Rectal Cancer',), ('Breast Cancer', 'Kidney Cancer'), ('Non-Hodgkin Lymphoma', 'Breast Cancer'), ('Leukemia', 'Non-Hodgkin Lymphoma'), ('Breast Cancer', 'Lung Cancer', 'Kidney Cancer', 'Colon and Rectal Cancer'), ('Leukemia', 'Lung Cancer', 'Melanoma'), ('Breast Cancer', 'Lung Cancer')]",C0024305,120
Leukemia,C0005310,"['C0042670', 'C0018513', 'C0851344', 'C0907349', 'C0005310', 'C0253355', 'C0010927', 'C0571665', 'C2604307', 'C2713008', 'C0210657', 'C0032952', 'C2980094', 'C0042679', 'C3658706', 'C0770560', 'C0039607', 'C0025147', 'C0005311', 'C0025033', 'C0065175', 'C0020402', 'C0032950', 'C1700874', 'C0393022', 'C0146224', 'C4726799', 'C0071836', 'C4519167', 'C4683810', 'C0025826', 'C0796392', 'C0011705', 'C0671970', 'C2930789', 'C1144149', 'C1506770', 'C0059874', 'C0016374', 'C1122962', 'C1516119', 'C0044401', 'C0039601', 'C0008163', 'C1135135', 'C0672708', 'C1367202', 'C0117996', 'C0072980', 'C0541315', 'C0065879', 'C0076189', 'C0879427', 'C0020268', 'C0016294', 'C0041920', 'C0056391', 'C3853822', 'C4287815', 'C2935436', 'C0765273', 'C0005740', 'C0069717', 'C0750848', 'C1721300', 'C0123931', 'C0525079', 'C4080091', 'C2697961', 'C3657270', 'C2742502', 'C0057992', 'C3899947', 'C0010583', 'C0218986', 'C0762737', 'C4049146', 'C1527027', 'C2974289', 'C0039600', 'C3818721', 'C0042682', 'C0040864', 'C4056441', 'C0039871', 'C2698692', 'C0246421', 'C4078312', 'C0040987', 'C0013089', 'C0025684', 'C1135132', 'C4079854', 'C0246415', 'C0728747', 'C0877880', 'C1707080', 'C2987648', 'C0078257', 'C1130428', 'C4058811', 'C0051113', 'C0717670', 'C0016298', 'C1998098', 'C1948068', 'C3467876']","[('Breast Cancer',), ('Non-Hodgkin Lymphoma', 'Breast Cancer'), ('Leukemia', 'Lung Cancer', 'Melanoma'), ('Breast Cancer', 'Lung Cancer'), ('Lung Cancer', 'Melanoma'), ('Melanoma',), ('Lung Cancer', 'Kidney Cancer', 'Melanoma'), ('Breast Cancer', 'Kidney Cancer'), ('Leukemia', 'Non-Hodgkin Lymphoma', 'Lung Cancer'), ('Leukemia', 'Melanoma'), ('Lung Cancer',), ('Non-Hodgkin Lymphoma',), ('Leukemia', 'Non-Hodgkin Lymphoma', 'Breast Cancer', 'Lung Cancer'), ('Leukemia', 'Kidney Cancer', 'Melanoma'), ('Leukemia', 'Non-Hodgkin Lymphoma'), ('Kidney Cancer',), ('Non-Hodgkin Lymphoma', 'Kidney Cancer'), ('Colon and Rectal Cancer',), ('Breast Cancer', 'Lung Cancer', 'Kidney Cancer', 'Colon and Rectal Cancer')]",C0024305,107
Leukemia,C3853839,,,C0349636,0
Leukemia,C2699709,"['C0042670', 'C1831796', 'C0253355', 'C0010927', 'C0290883', 'C0571665', 'C0011707', 'C2980094', 'C0042679', 'C0039607', 'C1831828', 'C0005311', 'C0025033', 'C0065175', 'C3853921', 'C0053523', 'C0032950', 'C0393022', 'C4726799', 'C0033308', 'C4519167', 'C4683810', 'C0025826', 'C0011705', 'C0671970', 'C1144149', 'C1506770', 'C0007257', 'C0016374', 'C1122962', 'C1516119', 'C0014582', 'C0044401', 'C0039601', 'C2352806', 'C0008163', 'C0672708', 'C1367202', 'C4055433', 'C0076189', 'C0541315', 'C0039286', 'C0016294', 'C0041920', 'C0040976', 'C0016360', 'C2973446', 'C4287815', 'C2935436', 'C0765273', 'C0069717', 'C1721300', 'C0002555', 'C0123931', 'C0525079', 'C2742502', 'C3899947', 'C0010583', 'C2932486', 'C0120107', 'C0039600', 'C4726900', 'C0042682', 'C4056441', 'C0039871', 'C2698692', 'C4078312', 'C0076181', 'C0013089', 'C0025677', 'C0015133', 'C1707080', 'C0016366', 'C2987648', 'C0078257', 'C1130428', 'C4045494', 'C0016298', 'C1998098']","[('Leukemia', 'Non-Hodgkin Lymphoma', 'Lung Cancer'), ('Lung Cancer',), ('Non-Hodgkin Lymphoma',), ('Kidney Cancer',), ('Breast Cancer',), ('Melanoma',), ('Leukemia', 'Non-Hodgkin Lymphoma', 'Breast Cancer', 'Lung Cancer'), ('Non-Hodgkin Lymphoma', 'Kidney Cancer'), ('Colon and Rectal Cancer',), ('Non-Hodgkin Lymphoma', 'Breast Cancer'), ('Leukemia', 'Non-Hodgkin Lymphoma'), ('Breast Cancer', 'Kidney Cancer'), ('Leukemia', 'Lung Cancer', 'Melanoma'), ('Breast Cancer', 'Lung Cancer')]",C1531702,79
Leukemia,C0008163,"['C0042670', 'C0066700', 'C0018513', 'C0851344', 'C1831796', 'C0005310', 'C0253355', 'C0010927', 'C0290883', 'C0051556', 'C0571665', 'C0011707', 'C0995188', 'C0210657', 'C0032952', 'C2980094', 'C0025815', 'C3658706', 'C0770560', 'C0005308', 'C0042679', 'C0039607', 'C0025147', 'C1176020', 'C1831828', 'C0005311', 'C0025033', 'C0065175', 'C4086264', 'C3853921', 'C0053523', 'C0032950', 'C1700874', 'C0021735', 'C0393022', 'C0146224', 'C4726799', 'C0033308', 'C0071836', 'C4519167', 'C4683810', 'C0025826', 'C0796392', 'C0011705', 'C0671970', 'C1144149', 'C1506770', 'C0059874', 'C0007257', 'C0016374', 'C2987430', 'C1516119', 'C1122962', 'C0014582', 'C0044401', 'C0039601', 'C2352806', 'C0008163', 'C1135135', 'C0672708', 'C0026256', 'C0045093', 'C1367202', 'C0117996', 'C4055433', 'C0072980', 'C0541315', 'C0076189', 'C0039286', 'C0879427', 'C0020268', 'C0041920', 'C0040976', 'C0016360', 'C0056391', 'C3853822', 'C0055900', 'C2973446', 'C4287815', 'C2935436', 'C0069717', 'C0750848', 'C4079208', 'C1721300', 'C0002555', 'C0123931', 'C4080091', 'C2697961', 'C2742502', 'C3181682', 'C3899947', 'C0010583', 'C0218986', 'C1527027', 'C2932486', 'C0120107', 'C2974289', 'C0039600', 'C3818721', 'C4726900', 'C0042682', 'C0040864', 'C4056441', 'C0039871', 'C2698692', 'C0246421', 'C0076181', 'C4301624', 'C2827667', 'C0013089', 'C0025677', 'C1135132', 'C0246415', 'C0015133', 'C1707080', 'C3501358', 'C4078806', 'C0016366', 'C2987648', 'C0078257', 'C1130428', 'C4058811', 'C0717670', 'C0016298']","[('Leukemia', 'Non-Hodgkin Lymphoma', 'Lung Cancer'), ('Leukemia', 'Melanoma'), ('Lung Cancer',), ('Non-Hodgkin Lymphoma',), ('Kidney Cancer',), ('Breast Cancer',), ('Lung Cancer', 'Melanoma'), ('Melanoma',), ('Leukemia', 'Non-Hodgkin Lymphoma', 'Breast Cancer', 'Lung Cancer'), ('Non-Hodgkin Lymphoma', 'Kidney Cancer'), ('Colon and Rectal Cancer',), ('Breast Cancer', 'Kidney Cancer'), ('Leukemia', 'Kidney Cancer', 'Melanoma'), ('Non-Hodgkin Lymphoma', 'Breast Cancer'), ('Leukemia', 'Non-Hodgkin Lymphoma'), ('Breast Cancer', 'Lung Cancer', 'Kidney Cancer', 'Colon and Rectal Cancer'), ('Leukemia', 'Lung Cancer', 'Melanoma'), ('Breast Cancer', 'Lung Cancer')]",C0023434,124
