PMID,Title,Authors,Source,PubDate,DOI,Volume,Issue,Pages,URL,Abstract
40494466,Gelatin-dopamine-based dual-responsive nanogels for tumor-targeted bortezomib delivery: Minimizing systemic toxicity and enhancing breast cancer therapy.,"Zheng Z, Sun L, Li Y, Wang S, Wang P, Qiu S, Tian Y, Chen H",Int J Biol Macromol. 2025 Jun 8;318(Pt 4):145084. doi: 10.1016/j.ijbiomac.2025.145084.,2025 Jun 8,S0141-8130(25)05637-5 [pii] 10.1016/j.ijbiomac.2025.145084,318,Pt 4,145084,https://pubmed.ncbi.nlm.nih.gov/40494466,"Breast cancer, responsible for 15 % of global cancer deaths, demands therapies that balance efficacy and safety. Bortezomib (BTZ), a proteasome inhibitor, which is typically used in cancer treatment, while limited by rapid hydrolysis (<1 h half-life), neurotoxicity, and poor tumor targeting (<5 % accumulation), requires advanced delivery strategies. We address this by engineering gelatin-dopamine (Gel-Dopa) nanogels-a biocompatible platform combining gelatin's MMP-2 responsiveness and dopamine's pH-sensitive boronate bonds for tumor-targeted BTZ release. Co-assembly with hyaluronic acid enables CD44-mediated tumor targeting, synergizing with sub-300 nm size (254 nm) for enhanced accumulation. The nanogels exhibit pH/enzyme dual-responsive release: 74.8 % cumulative BTZ release at tumor acidity (pH 5.0) vs. 32.1 % at physiological pH, with MMP-2 accelerating gelatin degradation. In vitro studies show 2.1x higher uptake in MDA-MB-231 cells than free BTZ, potent cytotoxicity (IC50 1.45 muM vs. 3.82 muM), and > 90 % normal cell viability. This dual-targeting system improves BTZ's therapeutic index by 2.6-fold. This work bridges biocompatible materials and clinical oncology by utilizing FDA-approved biopolymers (gelatin, hyaluronic acid). The design is adaptable to other protease-sensitive drugs, offering a translatable strategy to transform toxic chemotherapeutics into tumor-activated precision therapies."
40452673,"Interdisciplinary Approach to Diagnostic Challenges: A Case Study of Cardiac Amyloid Light-Chain (AL) Amyloidosis, Multiple Myeloma, and Ductal Carcinoma In Situ.","Tashima Y, Setoyama K, Higashi T, Nawata A, Tanaka F",Cureus. 2025 May 1;17(5):e83299. doi: 10.7759/cureus.83299. eCollection 2025 May.,2025 May,10.7759/cureus.83299 e83299,17,5,e83299,https://pubmed.ncbi.nlm.nih.gov/40452673,"Amyloid light-chain (AL) amyloidosis is a disorder caused by abnormal plasma cells, and it may develop either as a primary disease or as a secondary condition associated with multiple myeloma. Due to the absence of specific clinical symptoms, its diagnosis is often challenging. Here, we present a case of cardiac amyloidosis secondary to multiple myeloma, incidentally complicated by ductal carcinoma in situ (DCIS). Although the breast cancer was diagnosed as stage 0 (DCIS), the patient's heart failure symptoms worsened following surgical resection. As a result, further evaluation by the cardiology department was performed, leading to a diagnosis of cardiac amyloidosis. Subsequently, a hematology consultation was obtained, and bone marrow biopsy revealed that clonal plasma cells accounted for more than 60% of bone marrow cellularity, confirming a diagnosis of multiple myeloma. The patient received daratumumab + bortezomib + cyclophosphamide + dexamethasone therapy, achieved a partial response, and has been alive for >2 years. This case is a valuable example of a patient who experienced a gradual onset of the symptoms of amyloidosis, including palpitations, pleural effusion, right and left heart failure, before a diagnosis could be made. It took a total of eight departments to make a diagnosis, as it was challenging. Even if no abnormalities are observed in a single examination, it is important to listen carefully to patient complaints, repeat the examination if necessary, and work with multiple departments to provide treatment."
40223780,Nanoparticle Albumin-Bound Bortezomib: Enhanced Antitumor Efficacy and Tumor Accumulation in Breast Cancer Therapy.,"Saremi Poor A, Davaeil B, Ramezanpour M, Shafiee Ardestani M, Moosavi-Movahedi AA, Asghari SM",Mol Pharm. 2025 May 5;22(5):2482-2493. doi: 10.1021/acs.molpharmaceut.4c01283. Epub 2025 Apr 14.,2025 May 5,10.1021/acs.molpharmaceut.4c01283,22,5,2482-2493,https://pubmed.ncbi.nlm.nih.gov/40223780,"Nanoparticle albumin-bound (NAB) formulations are emerging as a viable strategy for the intravenous delivery of poorly water-soluble drugs. This study aims to improve the therapeutic profile of Bortezomib (BTZ), addressing its low solubility and significant systemic toxicity through the development of NAB-BTZ nanoparticles. The synthesized nanoparticles exhibited an average size of 296.47 +/- 10 nm and a high drug encapsulation efficiency of 75%, and a drug loading of 10%. NAB-BTZ displayed a controlled, pH-sensitive release profile, with 59% release at pH 5.4 (mimicking tumor environments) and 46% at pH 7.4 after 12 h. In vitro assays demonstrated that NAB-BTZ significantly reduced the viability of 4T1 mammary carcinoma cells in a dose- and time-dependent manner, increasing late apoptosis from 6% to 54% after 48 h, compared to 24% for free BTZ. At molecular level, NAB-BTZ induced apoptosis by upregulating p53 and Bax, downregulating Bcl-2, and activating caspases 3 and 7. In vivo tests in a murine 4T1 breast cancer model showed that NAB-BTZ substantially inhibited tumor growth, achieving an average tumor volume of 916 mm(3) by day 31 versus 1400 mm(3) for free BTZ, leading to an improved survival rate of 100% compared to 83% in the BTZ group. Technetium-99m ((99m)Tc) labeling and SPECT imaging confirmed enhanced targeting capability, showing preferential accumulation of NAB-BTZ in tumor sites compared to free BTZ. These findings suggest that NAB-BTZ not only improves antitumor efficacy but also enhances its safety profile, underscoring its clinical potential in breast cancer therapy."
40205824,A Journey Around Boronic Acids: Sulfonyl Hydrazone-Containing Derivatives as Carbonic Anhydrase Inhibitors.,"Anakok DA, Angeli A, D'Agostino I, Renzi G, Massardi ML, Tavani C, Cete S, Carradori S, Ronca R, Capasso C, Carta F, Supuran CT",Chem Biol Drug Des. 2025 Apr;105(4):e70108. doi: 10.1111/cbdd.70108.,2025 Apr,10.1111/cbdd.70108,105,4,e70108,https://pubmed.ncbi.nlm.nih.gov/40205824,"Recently, a rising interest in boronic acids and their derivatives was recorded in the Medicinal Chemistry field due to their high versatility and broad applicability as bioactive compounds in several diseases, including cancer and microbial infections. The ability of boronic acid moieties to bind zinc ions was first hypothesized by the inhibitory activity of bortezomib, a boron-containing protease inhibitor, on different isoforms of the Carbonic Anhydrase (CA, EC: 4.2.1.1) enzyme family and then assessed through X-ray crystallographic studies on benzoxaboroles in complex with hCA II. These findings, along with the overexpression of isoforms IX and XII in hypoxic cancer and, in particular, breast cancer, drove us to explore the chemical space around the phenylboronic acids by generating a focused library of 16 derivatives (1-4a-d) decorated with alkyl sulfonyl hydrazones. The compounds were then subjected to stopped flow-based inhibition assays on a panel of hCAs, including the tumor-associated isoforms, revealing low micromolar inhibition constants (K(I)s) in some cases. However, antiproliferative assays conducted on a human triple-negative breast cancer cell line showed a lack of activity at the tested concentrations."
40053488,Identification and validation of mitochondria-related LncRNA signatures as a novel prognostic model for glioma.,"Deng K, Zhao W, Dai L, Jing Z, Ma L",Anticancer Drugs. 2025 Apr 1;36(4):297-305. doi: 10.1097/CAD.0000000000001677. Epub 2025 Jan 14.,2025 Apr 1,10.1097/CAD.0000000000001677,36,4,297-305,https://pubmed.ncbi.nlm.nih.gov/40053488,"A predictive model for long-term survival is needed, and mitochondrial dysfunction is a key feature of cancer metabolism, though its link to glioma is not well understood. The aim of this study was to identify the molecular characteristics associated with glioma prognosis and explore its potential function. We analyzed RNA-seq data from The Cancer Genome Atlas and identified differentially expressed mitochondrial long noncoding RNAs (lncRNAs) using R's 'limma' package. A prognostic model was developed using 10 selected lncRNAs and validated with Cox regression and least absolute shrinkage and selection operator algorithm. The model's efficacy was assessed using Kaplan-Meier and receiver operating characteristic curve analyses, and its correlation with immune cell profiles and drug sensitivity was explored. A 10-mitochondria-related LncRNA signature was generated. The median risk score values are used to classify glioma samples into low-risk and high-risk groups. In breast patients, the signature-based risk score demonstrated a more potent ability to predict survival than conventional clinicopathological features. Furthermore, we noted a substantial disparity in the number of immune cells, including B cells, CD8 + T cells, and macrophages, between the two groups. In addition, the high-risk group exhibited lower half-maximal inhibitory concentration values for specific chemotherapy medications, including bortezomib, luminespib, rapamycin, and 5-fluorouracil. Our study elucidates the diagnostic and prognostic value of mitochondria-related-lncRNAs in the promotion, suppression, and treatment of glioma."
39962810,Single Cell Inference of Cancer Drug Response Using Pathway-Based Transformer Network.,"Yao Y, Xu Y, Zhang Y, Gui Y, Bai Q, Zhu Z, Peng H, Zhou Y, Chen ZJ, Sun J, Su J",Small Methods. 2025 May;9(5):e2400991. doi: 10.1002/smtd.202400991. Epub 2025 Feb 17.,2025 May,10.1002/smtd.202400991,9,5,e2400991,https://pubmed.ncbi.nlm.nih.gov/39962810,"Accurate prediction of cancer drug responses is crucial for personalized therapy. Single-cell RNA sequencing (scRNA-seq) captures cellular heterogeneity and rare resistant populations, offering valuable insights into treatment responses. However, the distinct distributions of bulk RNA-seq and scRNA-seq data hinder the transfer of drug response knowledge from large-scale cell line datasets. To address this, single-cell Pathway Drug Sensitivity (scPDS) model is developed, a Transformer-based deep learning method that predicts drug sensitivities from scRNA-seq data through pathway activation transformation. By integrating bulk RNA-seq data from extensive cell line datasets, scPDS improves accuracy and computational efficiency in scRNA-seq analysis. It is demonstrated that scPDS outperforms state-of-the-art methods in both time and memory consumption. When applied to breast cancer cells treated with bortezomib, scPDS showed that resistance increases initially but diminishes with prolonged exposure. The method also identifies drug-sensitive populations in bortezomib-resistant cells and predicts the efficacy of combination therapies, including docetaxel, gemcitabine, and irinotecan. Furthermore, scPDS successfully distinguishes between sensitive and resistant patients, predicting significantly different survival outcomes. In summary, scPDS offers a robust tool for predicting cellular responses, providing insights to optimize cancer treatment strategies."
39862152,Bortezomib suppresses TGF-beta1-mediated LOXL4 reduction through the inhibition of MEK/ERK pathways in MDA-MB-231 cells.,"Kamiya T, Ishii K, Ozawa K, Hara H",J Recept Signal Transduct Res. 2025 Feb;45(1):73-82. doi: 10.1080/10799893.2025.2455594. Epub 2025 Jan 25.,2025 Feb,10.1080/10799893.2025.2455594,45,1,73-82,https://pubmed.ncbi.nlm.nih.gov/39862152,"Lysyl oxidase (LOX), a copper-containing secretory oxidase, plays a key role in the regulation of extracellular stiffness through cross-linking with collagen and elastin. Among the LOX family of enzymes, LOX-like 4 (LOXL4) exhibits pro-tumor and anti-tumor properties; therefore, the functional role of LOXL4 in tumor progression is still under investigation. Here, we first determined that transforming growth factor-beta1 (TGF-beta1) significantly decreased LOXL4 expression in human breast cancer MDA-MB-231 cells, which suggested that decreased LOXL4 may participate in tumor progression. In this study, we also investigated how TGF-beta1 decreases LOXL4 expression. TGF-beta1-induced intracellular reactive oxygen species (ROS) played a role in LOXL4 protein expression but had no effect on LOXL4 mRNA levels. The proteasomal inhibitor, bortezomib, significantly suppressed TGF-beta1-mediated LOXL4 reduction, which indicated that TGF-beta1 facilitates LOXL4 proteasomal degradation. Furthermore, bortezomib inhibited TGF-beta1-induced MEK/ERK pathways which are involved in LOXL4 reduction and TGF-beta1-mediated cell migration. Finally, we also determined the potential role of N-glycosylation in LOXL4 secretion. We found that the dysregulation of N-glycosylation may be involved in the reduction in LOXL4 secretion. Overall, bortezomib is expected to inhibit TNBC progression by inhibiting both the MEK/ERK and proteasomal degradation pathways, which regulate LOXL4 expression."
39848459,The extracts from centaurea species abolished the cytotoxic effects of doxorubicin on breast cancer cell line - MCF-7 and bortezomib on prostate cancer cell line- PC3.,"Jozefczyk A, Adamczuk G, Humeniuk E, Iwan M, Kubik J, Lubek-Nguyen A, Porebska K, Madej-Czerwonka B, Czerwonka M, Korga-Plewko A",Food Chem Toxicol. 2025 Mar;197:115271. doi: 10.1016/j.fct.2025.115271. Epub 2025 Jan 21.,2025 Mar,S0278-6915(25)00038-9 [pii] 10.1016/j.fct.2025.115271,197,,115271,https://pubmed.ncbi.nlm.nih.gov/39848459,"The use of plant extracts by cancer patients during chemotherapy poses potential risks, as they may reduce the effectiveness of treatment or interact negatively with chemotherapeutic drugs. There is a lack of comprehensive studies evaluating the effects of various Centaurea spp. plant extracts on chemotherapy outcomes, highlighting the need for caution and medical supervision. Therefore, the aim of this study was to evaluate the effects of five Centaurea spp. extracts in concentrations of 125 mug/ml and 250 mug/ml on the cytotoxicity induced by doxorubicin (DOX, 1 muM) in MCF-7 breast cancer cells and by bortezomib (BOR, 7 nM) in PC-3 prostate cancer cells. Selected cell lines were treated with drugs and extracts or combined for 48 h. Biological assays revealed that four out of five tested extracts abolished the cytotoxic effects of DOX and BOR. The extracts showed low antioxidant activity compared to Trolox, with no correlation to total compound content, indicating the abolition of the cytotoxic effect was not due to antioxidant activity. However, genotoxicity and DNA damage response studies showed a protective effect of the extract on the DNA of cancer cells and upregulation of DNA repair, which may underlie the reversal of the chemotherapy effect."
39828527,Computer-Aided Design of Self-Assembled Nanoparticles to Enhance Cancer Chemoimmunotherapy via Dual-Modulation Strategy.,"Shan X, Cai Y, Zhu B, Sun X, Zhou L, Zhao Z, Li Y, Wang D",Adv Healthc Mater. 2025 Mar;14(7):e2404261. doi: 10.1002/adhm.202404261. Epub 2025 Jan 19.,2025 Mar,10.1002/adhm.202404261,14,7,e2404261,https://pubmed.ncbi.nlm.nih.gov/39828527,"The rational design of self-assembled compounds is crucial for the highly efficient development of carrier-free nanomedicines. Herein, based on computer-aided strategies, important physicochemical properties are identified to guide the rational design of self-assembled compounds. Then, the pharmacophore hybridization strategy is used to design self-assemble nanoparticles by preparing new chemical structures by combining pharmacophore groups of different bioactive compounds. Hydroxychloroquine is grafted with the lipophilic vitamin E succinate and then co-assembled with bortezomib to fabricate the nanoparticle. The nanoparticle can reduce M2-type tumor-associated macrophages (TAMs) through lysosomal alkalization and induce immunogenic cell death (ICD) and nuclear factor-kappaB (NF-kappaB) inhibition in tumor cells. In mouse models, the nanoparticles induce decreased levels of M2-type TAMs, regulatory T cells, and transforming growth factor-beta (TGF-beta), and increase the proportion of cytotoxicity T lymphocytes. Additionally, the nanoparticles reduce the secretion of Interleukin-6 (IL-6) by inhibiting NF-kappaB and enhance the programmed death ligand-1 (PD-L1) checkpoint blockade therapy. The pharmacophore hybridization-derived nanoparticle provides a dual-modulation strategy to reprogram the tumor microenvironment, which will efficiently enhance the chemoimmunotherapy against triple-negative breast cancer."
39694374,"Effect of combination of polyphenols, polysaccharide, and sodium selenite on bortezomib anti-cancer action.","Rani S, Gupta S, Tejavath KK, Gupta U",Int J Biol Macromol. 2025 Feb;289:138809. doi: 10.1016/j.ijbiomac.2024.138809. Epub 2024 Dec 16.,2025 Feb,S0141-8130(24)09620-X [pii] 10.1016/j.ijbiomac.2024.138809,289,,138809,https://pubmed.ncbi.nlm.nih.gov/39694374,"Combinatorial drug delivery has shown promising results over single drug for cancer therapy. Here, we aimed to explore combination of proteasome inhibitor; bortezomib (BTZ) with natural antioxidants (AOs); polyphenols like caffeic acid (CFA), resveratrol (RES), fucoidan (FD), and synthetic AO; sodium selenite (Na(2)SeO(3)) for cellular cytotoxicity in breast cancer cell lines; MCF-7 and MDA MB-231. The combination of RES + BTZ, FD + BTZ, and Na(2)SeO(3) + BTZ showed synergism while CFA showed antagonism with BTZ. The EC(50) values of different combinations were found to be significantly less than the individual AOs in ABTS and DPPH assay. Furthermore, the effect of combination of drugs on migratory properties of MCF-7 cells were evaluated by in-vitro wound healing assay, resulting in the reduction of such behavior. In support of this, RT-qPCR was performed to analyze differential gene expressions of apoptotic and Epithelial-Mesenchymal Transition (EMT) markers with and without treatment. In results, the combination of Na(2)SeO(3) + BTZ reduced the expression of Bcl-XL and N-Cad causing cytotoxicity and suggested that the combination of Na(2)SeO(3) + BTZ (IC(50) = 1.40 +/- 0.45 muM) could be a better option among other combinations for breast cancer therapy. Overall, the outcome indicates that the combination of BTZ with AOs may yield potential therapeutic benefit."
