cancer_class,subject_cui,pass_all_3,pass_all_3_cancer_types,object_cui,pass_all_3_count
Leukemia,C0218986,"['C0039601', 'C0010927', 'C0053523', 'C2827667', 'C0069717', 'C1516119', 'C0144576', 'C1721300', 'C1707080', 'C0032950', 'C0541315', 'C4080091', 'C0016294', 'C0042670', 'C4079854', 'C1700874', 'C0076189', 'C0040976', 'C2930789', 'C0005308', 'C0008163', 'C0016360', 'C0672708', 'C0071836', 'C1130428', 'C0040987', 'C0750848', 'C0016299', 'C1176309', 'C4049146', 'C1831828', 'C0078257', 'C3852841', 'C2986924', 'C2604307', 'C1948068', 'C3501358', 'C1135135', 'C0044401', 'C0040864', 'C3853921', 'C0796392', 'C0025684', 'C0026256', 'C0210657', 'C4519167', 'C2935436', 'C0717670', 'C4058811', 'C2932486', 'C0039607', 'C0290883', 'C0995188', 'C4287815', 'C2980094', 'C2987603', 'C3657270', 'C0525079', 'C1367202', 'C0728747', 'C0039871', 'C0041920', 'C4079208', 'C0056391', 'C4055433', 'C4056441', 'C2697961', 'C0246421', 'C0025815', 'C0016298', 'C1176020', 'C0770560', 'C0393022', 'C4683810', 'C4045494', 'C1144149', 'C1328025', 'C0246415', 'C0253355', 'C4726799', 'C0218986', 'C0013089', 'C0042679', 'C0014582', 'C0039600', 'C3467876', 'C0040867', 'C4055478', 'C0007257', 'C0851344', 'C4078312', 'C0120107', 'C0011705', 'C1506770', 'C4726900', 'C0879427', 'C2987648', 'C0002555', 'C0020402', 'C0146224', 'C1134659']","[('Kidney Cancer',), ('Lung Cancer',), ('Leukemia', 'Melanoma'), ('Leukemia', 'Kidney Cancer', 'Melanoma'), ('Breast Cancer', 'Lung Cancer', 'Kidney Cancer', 'Colon and Rectal Cancer'), ('Leukemia', 'Non-Hodgkin Lymphoma', 'Breast Cancer', 'Lung Cancer'), ('Breast Cancer', 'Kidney Cancer'), ('Leukemia', 'Non-Hodgkin Lymphoma'), ('Colon and Rectal Cancer',), ('Non-Hodgkin Lymphoma',), ('Non-Hodgkin Lymphoma', 'Breast Cancer'), ('Lung Cancer', 'Kidney Cancer', 'Melanoma'), ('Breast Cancer', 'Lung Cancer'), ('Non-Hodgkin Lymphoma', 'Kidney Cancer'), ('Breast Cancer',), ('Melanoma',)]",C0860594,101
Leukemia,C0052416,"['C1135132', 'C0010927', 'C0053523', 'C0069717', 'C1516119', 'C1721300', 'C1707080', 'C0032950', 'C0541315', 'C0005310', 'C0042670', 'C1700874', 'C0040976', 'C2930789', 'C0005308', 'C0008163', 'C0765273', 'C0016360', 'C0672708', 'C0071836', 'C0042682', 'C0016299', 'C3818721', 'C1176309', 'C0025147', 'C1831828', 'C0078257', 'C0025826', 'C3852841', 'C0059874', 'C0051113', 'C2986924', 'C2713008', 'C3501358', 'C0015133', 'C0048306', 'C0044401', 'C0051556', 'C3853921', 'C0796392', 'C0025684', 'C0011777', 'C0026256', 'C0907349', 'C0210657', 'C0671970', 'C4519167', 'C2935436', 'C0717670', 'C4078806', 'C2932486', 'C0039607', 'C0290883', 'C0995188', 'C2980094', 'C0525079', 'C1367202', 'C0728747', 'C0063077', 'C0039871', 'C0057992', 'C4079208', 'C0056391', 'C0039286', 'C2974289', 'C4056441', 'C0018513', 'C2697961', 'C2698692', 'C0246421', 'C0066700', 'C2742502', 'C4683810', 'C1328025', 'C0246415', 'C4726799', 'C0218986', 'C0042679', 'C3467876', 'C4055478', 'C3853822', 'C0007257', 'C4078312', 'C0011705', 'C1506770', 'C2987648', 'C0002555', 'C1134659']","[('Kidney Cancer',), ('Lung Cancer',), ('Leukemia', 'Kidney Cancer', 'Melanoma'), ('Breast Cancer', 'Lung Cancer', 'Kidney Cancer', 'Colon and Rectal Cancer'), ('Breast Cancer', 'Kidney Cancer'), ('Leukemia', 'Lung Cancer', 'Melanoma'), ('Leukemia', 'Non-Hodgkin Lymphoma'), ('Colon and Rectal Cancer',), ('Non-Hodgkin Lymphoma',), ('Non-Hodgkin Lymphoma', 'Breast Cancer'), ('Breast Cancer', 'Lung Cancer'), ('Non-Hodgkin Lymphoma', 'Kidney Cancer'), ('Breast Cancer',), ('Melanoma',)]",C0023487,88
Leukemia,C0003993,"['C1135132', 'C0039601', 'C0010927', 'C0053523', 'C0245194', 'C0069717', 'C1831796', 'C0144576', 'C1721300', 'C1707080', 'C0032950', 'C0541315', 'C4080091', 'C0032952', 'C0005310', 'C0016294', 'C0042670', 'C4079854', 'C1700874', 'C0025677', 'C2352806', 'C0040976', 'C2930789', 'C0005308', 'C0765273', 'C0016360', 'C0042682', 'C1130428', 'C0040987', 'C0016299', 'C4086264', 'C1176309', 'C4049146', 'C2973446', 'C1831828', 'C1998098', 'C0078257', 'C0025826', 'C3852841', 'C0051113', 'C1948068', 'C0011707', 'C0015133', 'C0021735', 'C0005740', 'C1135135', 'C0040864', 'C0051556', 'C3853921', 'C0025684', 'C0011777', 'C0026256', 'C0907349', 'C0010583', 'C0210657', 'C0671970', 'C4519167', 'C2935436', 'C2987430', 'C0717670', 'C0055900', 'C4078806', 'C2932486', 'C0039607', 'C0290883', 'C0995188', 'C4287815', 'C2980094', 'C3657270', 'C0525079', 'C0728747', 'C0063077', 'C0039871', 'C0571665', 'C0041920', 'C0057992', 'C0056391', 'C4055433', 'C2974289', 'C0045093', 'C4056441', 'C0005311', 'C2697961', 'C2698692', 'C0018513', 'C0246421', 'C0016374', 'C0065879', 'C0066700', 'C2742502', 'C0016298', 'C1176020', 'C0770560', 'C0393022', 'C4683810', 'C1122962', 'C1144149', 'C1328025', 'C3658706', 'C0246415', 'C0253355', 'C0013089', 'C0039600', 'C0016366', 'C3467876', 'C0040867', 'C4055478', 'C3853822', 'C0007257', 'C4078312', 'C0120107', 'C1506770', 'C0879427', 'C0033308', 'C2987648', 'C0020402', 'C1134659', 'C0072980']","[('Kidney Cancer',), ('Lung Cancer',), ('Leukemia', 'Melanoma'), ('Leukemia', 'Non-Hodgkin Lymphoma', 'Breast Cancer', 'Lung Cancer'), ('Breast Cancer', 'Kidney Cancer'), ('Leukemia', 'Lung Cancer', 'Melanoma'), ('Lung Cancer', 'Melanoma'), ('Leukemia', 'Non-Hodgkin Lymphoma'), ('Colon and Rectal Cancer',), ('Non-Hodgkin Lymphoma',), ('Non-Hodgkin Lymphoma', 'Breast Cancer'), ('Lung Cancer', 'Kidney Cancer', 'Melanoma'), ('Breast Cancer', 'Lung Cancer'), ('Non-Hodgkin Lymphoma', 'Kidney Cancer'), ('Breast Cancer',), ('Melanoma',)]",C0023449,118
Leukemia,C0004475,"['C1135132', 'C3658706', 'C0246415', 'C0039607', 'C0069717', 'C4287815', 'C0144576', 'C0013089', 'C3181682', 'C1721300', 'C1707080', 'C0032950', 'C2987603', 'C0016366', 'C3467876', 'C1948068', 'C0728747', 'C4055478', 'C3853822', 'C0039871', 'C0042670', 'C0011707', 'C4079208', 'C4079854', 'C1700874', 'C0045093', 'C3899947', 'C0040976', 'C0005740', 'C0007257', 'C0018513', 'C0008163', 'C0851344', 'C0246421', 'C2930789', 'C0016360', 'C0672708', 'C4078312', 'C0120107', 'C0044401', 'C0071836', 'C0066700', 'C0051556', 'C0040987', 'C0033308', 'C4086264', 'C2987648', 'C0026256', 'C0020402', 'C2973446', 'C0078257', 'C0210657', 'C1122962']","[('Kidney Cancer',), ('Lung Cancer',), ('Leukemia', 'Melanoma'), ('Leukemia', 'Non-Hodgkin Lymphoma', 'Breast Cancer', 'Lung Cancer'), ('Lung Cancer', 'Melanoma'), ('Leukemia', 'Non-Hodgkin Lymphoma'), ('Colon and Rectal Cancer',), ('Non-Hodgkin Lymphoma',), ('Non-Hodgkin Lymphoma', 'Breast Cancer'), ('Breast Cancer', 'Lung Cancer'), ('Non-Hodgkin Lymphoma', 'Kidney Cancer'), ('Breast Cancer',), ('Melanoma',)]",C0023467,53
Leukemia,C0525079,"['C1135132', 'C0039601', 'C0010927', 'C0053523', 'C0245194', 'C2827667', 'C0069717', 'C1831796', 'C1516119', 'C3181682', 'C1721300', 'C1707080', 'C0541315', 'C4080091', 'C0016294', 'C0042670', 'C4079854', 'C1700874', 'C0025677', 'C0076189', 'C0040976', 'C2930789', 'C0005308', 'C0008163', 'C0016360', 'C0672708', 'C0071836', 'C1130428', 'C0040987', 'C0750848', 'C0016299', 'C1176309', 'C4049146', 'C1998098', 'C1831828', 'C0078257', 'C3852841', 'C1948068', 'C2713008', 'C3501358', 'C1135135', 'C0044401', 'C0040864', 'C3853921', 'C0796392', 'C4301624', 'C0025684', 'C0026256', 'C0210657', 'C2935436', 'C0717670', 'C4058811', 'C4078806', 'C2932486', 'C0039607', 'C0290883', 'C0995188', 'C4287815', 'C0877880', 'C2980094', 'C2987603', 'C3657270', 'C0525079', 'C1367202', 'C0728747', 'C0039871', 'C0571665', 'C0041920', 'C4079208', 'C0056391', 'C4055433', 'C4056441', 'C0018513', 'C2697961', 'C0246421', 'C0066700', 'C0025815', 'C2742502', 'C0016298', 'C0025033', 'C1176020', 'C0770560', 'C0393022', 'C4683810', 'C4045494', 'C0020268', 'C1144149', 'C3658706', 'C0253355', 'C4726799', 'C0218986', 'C0013089', 'C0042679', 'C0014582', 'C3467876', 'C0040867', 'C4055478', 'C4078312', 'C0076181', 'C0011705', 'C1506770', 'C0879427', 'C2987648', 'C0117996', 'C0002555', 'C0020402', 'C0146224', 'C1134659']","[('Kidney Cancer',), ('Lung Cancer',), ('Leukemia', 'Melanoma'), ('Leukemia', 'Kidney Cancer', 'Melanoma'), ('Breast Cancer', 'Lung Cancer', 'Kidney Cancer', 'Colon and Rectal Cancer'), ('Leukemia', 'Non-Hodgkin Lymphoma', 'Breast Cancer', 'Lung Cancer'), ('Breast Cancer', 'Kidney Cancer'), ('Non-Hodgkin Lymphoma', 'Breast Cancer'), ('Lung Cancer', 'Melanoma'), ('Leukemia', 'Non-Hodgkin Lymphoma'), ('Colon and Rectal Cancer',), ('Non-Hodgkin Lymphoma',), ('Leukemia', 'Non-Hodgkin Lymphoma', 'Lung Cancer'), ('Lung Cancer', 'Kidney Cancer', 'Melanoma'), ('Breast Cancer', 'Lung Cancer'), ('Non-Hodgkin Lymphoma', 'Kidney Cancer'), ('Breast Cancer',), ('Melanoma',)]",C0023434,108
Leukemia,C0005308,"['C1135132', 'C0010927', 'C0053523', 'C2827667', 'C0069717', 'C1831796', 'C1516119', 'C1721300', 'C1707080', 'C0032950', 'C4080091', 'C0005310', 'C0016294', 'C0042670', 'C2352806', 'C0040976', 'C2930789', 'C0005308', 'C0008163', 'C0016360', 'C0672708', 'C0071836', 'C0042682', 'C1130428', 'C0016299', 'C3818721', 'C1176309', 'C2973446', 'C1831828', 'C0078257', 'C3852841', 'C0059874', 'C0051113', 'C2986924', 'C1948068', 'C2713008', 'C3501358', 'C0015133', 'C0005740', 'C0048306', 'C0044401', 'C0123931', 'C3853921', 'C0796392', 'C0025684', 'C0011777', 'C0026256', 'C0907349', 'C0210657', 'C0671970', 'C2935436', 'C0717670', 'C0055900', 'C4078806', 'C2932486', 'C0039607', 'C0290883', 'C0995188', 'C4287815', 'C2980094', 'C2987603', 'C0525079', 'C1367202', 'C0728747', 'C0063077', 'C0039871', 'C0571665', 'C0041920', 'C0057992', 'C4079208', 'C0056391', 'C4055433', 'C2974289', 'C0045093', 'C4056441', 'C0005311', 'C2697961', 'C2698692', 'C0018513', 'C0246421', 'C0065879', 'C0066700', 'C2742502', 'C0016298', 'C0770560', 'C4683810', 'C1122962', 'C1328025', 'C3658706', 'C0246415', 'C0253355', 'C4726799', 'C0218986', 'C0042679', 'C0014582', 'C3467876', 'C0040867', 'C4055478', 'C3853822', 'C0007257', 'C0851344', 'C4078312', 'C0076181', 'C1506770', 'C0879427', 'C0033308', 'C1527027', 'C2987648', 'C0117996', 'C0002555', 'C1134659', 'C0072980']","[('Kidney Cancer',), ('Lung Cancer',), ('Leukemia', 'Kidney Cancer', 'Melanoma'), ('Breast Cancer', 'Lung Cancer', 'Kidney Cancer', 'Colon and Rectal Cancer'), ('Leukemia', 'Lung Cancer', 'Melanoma'), ('Lung Cancer', 'Melanoma'), ('Leukemia', 'Non-Hodgkin Lymphoma'), ('Colon and Rectal Cancer',), ('Non-Hodgkin Lymphoma',), ('Non-Hodgkin Lymphoma', 'Breast Cancer'), ('Breast Cancer', 'Lung Cancer'), ('Non-Hodgkin Lymphoma', 'Kidney Cancer'), ('Breast Cancer',), ('Melanoma',)]",C0024305,112
Leukemia,C0005310,"['C1135132', 'C0039601', 'C0010927', 'C2827667', 'C0069717', 'C0144576', 'C1721300', 'C1707080', 'C0032950', 'C0541315', 'C4080091', 'C0032952', 'C0005310', 'C4079854', 'C1700874', 'C0765273', 'C0016360', 'C0672708', 'C0071836', 'C1130428', 'C0750848', 'C0016299', 'C3818721', 'C4086264', 'C1176309', 'C4049146', 'C0078257', 'C2986924', 'C2713008', 'C3501358', 'C0015133', 'C1135135', 'C0048306', 'C0051556', 'C0796392', 'C0025684', 'C0011777', 'C0907349', 'C0010583', 'C0210657', 'C0671970', 'C4519167', 'C2935436', 'C2987430', 'C0055900', 'C4078806', 'C2932486', 'C0290883', 'C2980094', 'C3657270', 'C0525079', 'C0728747', 'C0063077', 'C0039871', 'C0041920', 'C0057992', 'C4079208', 'C0056391', 'C0039286', 'C4056441', 'C0005311', 'C0018513', 'C0246421', 'C0016374', 'C0065879', 'C0066700', 'C2742502', 'C0393022', 'C4683810', 'C1122962', 'C1144149', 'C1328025', 'C0246415', 'C0253355', 'C0013089', 'C0042679', 'C0040867', 'C0007257', 'C1997549', 'C4078312', 'C0011705', 'C4726900', 'C0879427', 'C0033308', 'C1527027', 'C0020402', 'C0146224', 'C1134659', 'C0072980']","[('Kidney Cancer',), ('Lung Cancer',), ('Leukemia', 'Melanoma'), ('Breast Cancer', 'Lung Cancer', 'Kidney Cancer', 'Colon and Rectal Cancer'), ('Leukemia', 'Non-Hodgkin Lymphoma', 'Breast Cancer', 'Lung Cancer'), ('Breast Cancer', 'Kidney Cancer'), ('Leukemia', 'Non-Hodgkin Lymphoma'), ('Colon and Rectal Cancer',), ('Non-Hodgkin Lymphoma',), ('Non-Hodgkin Lymphoma', 'Breast Cancer'), ('Lung Cancer', 'Kidney Cancer', 'Melanoma'), ('Breast Cancer', 'Lung Cancer'), ('Non-Hodgkin Lymphoma', 'Kidney Cancer'), ('Breast Cancer',), ('Melanoma',)]",C0024305,89
Leukemia,C3853839,,,C0349636,0
Leukemia,C2699709,"['C1135132', 'C0010927', 'C0069717', 'C1831796', 'C1707080', 'C0032950', 'C0541315', 'C4080091', 'C0005310', 'C0016294', 'C0042670', 'C0025677', 'C3899947', 'C0040976', 'C0076189', 'C0005308', 'C2930789', 'C0008163', 'C0672708', 'C0071836', 'C1130428', 'C3818721', 'C0025147', 'C1998098', 'C1831828', 'C0078257', 'C0025826', 'C2986924', 'C2604307', 'C1948068', 'C0011707', 'C3501358', 'C0015133', 'C0044401', 'C0040864', 'C0796392', 'C0025684', 'C0026256', 'C4519167', 'C2935436', 'C4058811', 'C4078806', 'C0995188', 'C0039607', 'C0290883', 'C0877880', 'C2980094', 'C3657270', 'C1367202', 'C0728747', 'C0039871', 'C0571665', 'C4079208', 'C0056391', 'C4055433', 'C0039286', 'C4056441', 'C0018513', 'C2697961', 'C0246421', 'C0066700', 'C0025815', 'C0025033', 'C0393022', 'C4683810', 'C4045494', 'C0020268', 'C1144149', 'C0246415', 'C4726799', 'C0218986', 'C0042679', 'C0014582', 'C0016366', 'C3467876', 'C0851344', 'C0076181', 'C0011705', 'C4726900', 'C0033308', 'C1527027', 'C2987648', 'C0117996', 'C0020402', 'C0146224']","[('Kidney Cancer',), ('Lung Cancer',), ('Leukemia', 'Melanoma'), ('Leukemia', 'Kidney Cancer', 'Melanoma'), ('Breast Cancer', 'Lung Cancer', 'Kidney Cancer', 'Colon and Rectal Cancer'), ('Leukemia', 'Non-Hodgkin Lymphoma', 'Breast Cancer', 'Lung Cancer'), ('Breast Cancer', 'Kidney Cancer'), ('Non-Hodgkin Lymphoma', 'Breast Cancer'), ('Leukemia', 'Non-Hodgkin Lymphoma'), ('Colon and Rectal Cancer',), ('Non-Hodgkin Lymphoma',), ('Leukemia', 'Non-Hodgkin Lymphoma', 'Lung Cancer'), ('Lung Cancer', 'Kidney Cancer', 'Melanoma'), ('Breast Cancer', 'Lung Cancer'), ('Non-Hodgkin Lymphoma', 'Kidney Cancer'), ('Breast Cancer',), ('Melanoma',)]",C1531702,85
Leukemia,C0008163,"['C1135132', 'C0039601', 'C0010927', 'C0053523', 'C0069717', 'C1831796', 'C1516119', 'C1721300', 'C1707080', 'C0032950', 'C0541315', 'C4080091', 'C0005310', 'C0016294', 'C0042670', 'C1700874', 'C0025677', 'C3899947', 'C0040976', 'C0076189', 'C0005308', 'C2352806', 'C0008163', 'C0765273', 'C2930789', 'C0016360', 'C0672708', 'C0071836', 'C1130428', 'C0750848', 'C0016299', 'C3818721', 'C1176309', 'C0025147', 'C1998098', 'C1831828', 'C0078257', 'C3852841', 'C0059874', 'C2986924', 'C1948068', 'C0011707', 'C0015133', 'C0048306', 'C0044401', 'C0040864', 'C0051556', 'C3853921', 'C0796392', 'C0025684', 'C0011777', 'C0026256', 'C0210657', 'C2935436', 'C0717670', 'C4058811', 'C2932486', 'C0039607', 'C0290883', 'C0995188', 'C4287815', 'C0877880', 'C2980094', 'C2987603', 'C3657270', 'C0525079', 'C1367202', 'C0728747', 'C0039871', 'C0571665', 'C0041920', 'C4079208', 'C0056391', 'C4055433', 'C0045093', 'C4056441', 'C0018513', 'C2697961', 'C0246421', 'C0066700', 'C0025815', 'C2742502', 'C0025033', 'C0393022', 'C4683810', 'C4045494', 'C0020268', 'C1144149', 'C0246415', 'C4726799', 'C0218986', 'C0013089', 'C0042679', 'C0014582', 'C3467876', 'C4055478', 'C0851344', 'C4078312', 'C0120107', 'C0076181', 'C0011705', 'C1506770', 'C4726900', 'C1527027', 'C0117996', 'C0002555', 'C0020402', 'C0146224']","[('Kidney Cancer',), ('Lung Cancer',), ('Leukemia', 'Melanoma'), ('Leukemia', 'Kidney Cancer', 'Melanoma'), ('Breast Cancer', 'Lung Cancer', 'Kidney Cancer', 'Colon and Rectal Cancer'), ('Leukemia', 'Non-Hodgkin Lymphoma', 'Breast Cancer', 'Lung Cancer'), ('Breast Cancer', 'Kidney Cancer'), ('Non-Hodgkin Lymphoma', 'Breast Cancer'), ('Leukemia', 'Non-Hodgkin Lymphoma'), ('Colon and Rectal Cancer',), ('Non-Hodgkin Lymphoma',), ('Leukemia', 'Non-Hodgkin Lymphoma', 'Lung Cancer'), ('Lung Cancer', 'Kidney Cancer', 'Melanoma'), ('Breast Cancer', 'Lung Cancer'), ('Non-Hodgkin Lymphoma', 'Kidney Cancer'), ('Breast Cancer',), ('Melanoma',)]",C0023434,108
