SUBJECT_CUI,PREDICATE,OBJECT_CUI
C0000096,INHIBITS,C0031640
C0000097,AUGMENTS,C0011065
C0000097,AUGMENTS,C0815003
C0053800,INHIBITS,C0013030
C0000097,STIMULATES,C0028906
C0000167,TREATS,C0030705
C0063079,TREATS,C0010692
C0000294,TREATS,C0221247
C0000294,TREATS,C0030705
C0000376,INHIBITS,C0022092
C0000376,STIMULATES,C0013030
C1299007,TREATS,C0020651
C0000378,TREATS,C0030567
C0000378,TREATS,C0030705
C0000379,COEXISTS_WITH,C0038838
C0000379,INHIBITS,C3195420
C0000379,INHIBITS,C2701576
C0000379,INHIBITS,C1509932
C0000379,INHIBITS,C0038838
C0000379,STIMULATES,C0007367
C0000379,STIMULATES,C0017817
C0000379,STIMULATES,C0017822
C0000379,STIMULATES,C0038838
C0000379,TREATS,C0009932
C0009950,TREATS,C0026809
C0000379,TREATS,C0238607
C0000379,TREATS,C0034693
C0000379,TREATS,C0043210
C0000379,TREATS,C0518010
C0000392,TREATS,C0017668
C0007022,STIMULATES,C0010762
C0000431,TREATS,C0085979
C0000473,TREATS,C0018081
C0278766,TREATS,C0011644
C0000473,TREATS,C0030807
C0025023,TREATS,C0030848
C0054040,TREATS,C0031762
C0000473,TREATS,C1527383
C0000477,TREATS,C0026769
C0000477,TREATS,C0030705
C0000477,TREATS,C0751830
C0000503,TREATS,C0026769
C0000503,TREATS,C0034693
C0000530|4907,PRODUCES,C0281351
C0000530|51592,PRODUCES,C0001443
C0000545,COEXISTS_WITH,C0016157
C0014923,COEXISTS_WITH,C0031676
C0000545,INHIBITS,C0013725
C0000545,TREATS,C0020114
C0000545,TREATS,C0026809
C4301781,TREATS,C0030705
C0000545,TREATS,C0034693
C2827667,TREATS,C1623040
C0000578,AUGMENTS,C1281590
C0000578,INTERACTS_WITH,C0024467
C0000578,STIMULATES,C0038071
C0000578,TREATS,C0026809
C0000578,TREATS,C0034693
C0000598,TREATS,C0406486
C0000608,INHIBITS,C0019080
C0000608,TREATS,C0019080
C0919426|1571,TREATS,C0030705
C0000618,TREATS,C0238598
C0000618,TREATS,C0023211
C0000618,TREATS,C0010346
C0000618,TREATS,C0021390
C0000618,TREATS,C0023434
C5446328,TREATS,C0023449
C0000618,TREATS,C0023452
C0000618,TREATS,C0023487
C0000618,TREATS,C3897752
C0000618,TREATS,C0175989
C0000618,TREATS,C1961102
C0000677,INTERACTS_WITH,C0050078
C0000737,ASSOCIATED_WITH,C0012634
C0000737,ASSOCIATED_WITH,C0022104
C0000737,ASSOCIATED_WITH,C0559031
C0000768,COEXISTS_WITH,C0012634
C0000768,COEXISTS_WITH,C0013080
C0000768,COEXISTS_WITH,C0014544
C0018817,COEXISTS_WITH,C0015625
C0000768,COEXISTS_WITH,C0018798
C0000768,COEXISTS_WITH,C0019247
C0000768,COEXISTS_WITH,C0027651
C0000768,COEXISTS_WITH,C0036341
C0000768,COEXISTS_WITH,C0001487
C0000768,COEXISTS_WITH,C0039144
C0000768,COEXISTS_WITH,C0235833
C0000768,COEXISTS_WITH,C0678236
C0000768,COEXISTS_WITH,C0699748
C0000768,COEXISTS_WITH,C0870182
C0000772,COEXISTS_WITH,C0022661
C0000811,TREATS,C0007452
C0845027,TREATS,C0018019
C0000811,TREATS,C0030705
C0000811,TREATS,C0035950
C0000811,TREATS,C0036945
C0521302,TREATS,C0043210
C0000811,TREATS,C0324143
C0000811,USES,C0013227
C0000811,USES,C0016767
C0000811,USES,C0771774
C0000811,USES,C0033554
C0498269,USES,C0037494
C0000811,USES,C0040059
C0000820,TREATS,C0030705
C0000820,TREATS,C0043210
C0000820,USES,C0026088
C0000820,USES,C0085174
C0000833,COEXISTS_WITH,C0162836
C0010868,AUGMENTS,C0332862
C0000843,DISRUPTS,C0301872
C0000843,DISRUPTS,C0242735
C0000843,DISRUPTS,C1160189
C0041365,INTERACTS_WITH,C0017337
C0030234,STIMULATES,C0003402
C0000843,STIMULATES,C0017337
C0000866,USES,C0021102
C0000880,COEXISTS_WITH,C0920138
C0000934,ASSOCIATED_WITH,C1527383
C0000934,COEXISTS_WITH,C0596236
C0000934,COEXISTS_WITH,C0032961
C0000946,TREATS,C0002962
C0000946,TREATS,C0035920
C0000946,TREATS,C0019088
C0030812,TREATS,C0030705
