cancer_class,subject_cui,pass_all_3,pass_all_3_cancer_types,object_cui,pass_all_3_count
Leukemia,C0218986,"['C0048306', 'C1176020', 'C4086264', 'C2827667', 'C4080091', 'C0008163', 'C0011705', 'C0728747', 'C0007257', 'C2973446', 'C0016360', 'C0071836', 'C0025033', 'C0065879', 'C0057992', 'C2987603', 'C0025677', 'C0002555', 'C1134659', 'C0796392', 'C4055433', 'C0013089', 'C0066700', 'C4726900', 'C0879427', 'C1516119', 'C1144149', 'C0117996', 'C0042679', 'C0210657', 'C4683810', 'C4726799', 'C4078312', 'C0146224', 'C0039601', 'C0010583', 'C1135132', 'C0541315', 'C3501358', 'C0011777', 'C3657270', 'C0014582', 'C0218986', 'C0072980', 'C0571665', 'C2713008', 'C2930789', 'C2352806', 'C3467876', 'C4079208', 'C3852841', 'C4301624', 'C4058811', 'C2932486', 'C0016294', 'C1367202', 'C1831796', 'C4045494', 'C4055478', 'C0039607', 'C0995188', 'C1527027', 'C4056441', 'C1831828', 'C0005308', 'C0005310', 'C0016299', 'C1721300', 'C0078257', 'C0120107', 'C3181682', 'C4049146', 'C0246415', 'C0056391', 'C1700874', 'C0040976', 'C2697961', 'C0525079', 'C0051556', 'C0042670', 'C0020402', 'C1176309', 'C3658706', 'C0032950', 'C0032952', 'C1707080', 'C0907349', 'C2987648']","[('Breast Cancer',), ('Lung Cancer', 'Kidney Cancer', 'Melanoma'), ('Leukemia', 'Melanoma'), ('Colon and Rectal Cancer',), ('Leukemia', 'Non-Hodgkin Lymphoma'), ('Non-Hodgkin Lymphoma',), ('Melanoma',), ('Lung Cancer',), ('Leukemia', 'Non-Hodgkin Lymphoma', 'Breast Cancer', 'Lung Cancer'), ('Breast Cancer', 'Lung Cancer', 'Kidney Cancer', 'Colon and Rectal Cancer'), ('Non-Hodgkin Lymphoma', 'Breast Cancer'), ('Leukemia', 'Non-Hodgkin Lymphoma', 'Lung Cancer'), ('Breast Cancer', 'Lung Cancer'), ('Non-Hodgkin Lymphoma', 'Kidney Cancer'), ('Leukemia', 'Kidney Cancer', 'Melanoma'), ('Breast Cancer', 'Kidney Cancer'), ('Lung Cancer', 'Melanoma'), ('Kidney Cancer',)]",C0860594,88
Leukemia,C0052416,"['C1516119', 'C2713008', 'C0005310', 'C2980094', 'C0717670', 'C1721300', 'C0042682', 'C4080091', 'C0040864', 'C2352806', 'C0210657', 'C3467876', 'C0055900', 'C0011705', 'C0728747', 'C4079208', 'C4683810', 'C3852841', 'C0672708', 'C2974289', 'C4726799', 'C4078312', 'C0016298', 'C3853921', 'C3899947', 'C0025033', 'C0065879', 'C1367202', 'C1831796', 'C4287815', 'C0026256', 'C0040987', 'C2697961', 'C0040976', 'C0057992', 'C0053523', 'C0051556', 'C0002555', 'C1135132', 'C0025826', 'C1176309', 'C0039871', 'C0995188', 'C0851344', 'C1527027', 'C0032950', 'C0013089', 'C0032952', 'C0066700', 'C0041920', 'C0014582', 'C1707080', 'C0246421', 'C0005308', 'C0907349', 'C0072980', 'C0069717', 'C2698692', 'C0059874']","[('Breast Cancer',), ('Colon and Rectal Cancer',), ('Leukemia', 'Non-Hodgkin Lymphoma'), ('Non-Hodgkin Lymphoma',), ('Leukemia', 'Lung Cancer', 'Melanoma'), ('Melanoma',), ('Leukemia', 'Non-Hodgkin Lymphoma', 'Breast Cancer', 'Lung Cancer'), ('Non-Hodgkin Lymphoma', 'Breast Cancer'), ('Leukemia', 'Non-Hodgkin Lymphoma', 'Lung Cancer'), ('Lung Cancer',), ('Non-Hodgkin Lymphoma', 'Kidney Cancer'), ('Kidney Cancer',)]",C0023487,59
Leukemia,C0003993,"['C4086264', 'C4080091', 'C0040864', 'C0008163', 'C0011705', 'C0728747', 'C0007257', 'C0016360', 'C0071836', 'C3853921', 'C0025033', 'C0065879', 'C0040987', 'C1130428', 'C0057992', 'C0053523', 'C2987603', 'C0025677', 'C0290883', 'C0002555', 'C0025826', 'C0796392', 'C1134659', 'C0393022', 'C0013089', 'C0066700', 'C2698692', 'C1516119', 'C0042679', 'C0042682', 'C2987430', 'C0065175', 'C4683810', 'C0671970', 'C0016366', 'C4726799', 'C4078312', 'C3899947', 'C0076181', 'C0021735', 'C0039601', 'C2604307', 'C0076189', 'C0762737', 'C1135132', 'C0541315', 'C0253355', 'C0851344', 'C0011777', 'C3657270', 'C2742502', 'C0014582', 'C0072980', 'C1122962', 'C2713008', 'C2930789', 'C2980094', 'C2352806', 'C3467876', 'C0025684', 'C3852841', 'C0015133', 'C4058811', 'C3818721', 'C0016298', 'C2932486', 'C0016294', 'C1831796', 'C4045494', 'C4055478', 'C0877880', 'C0039607', 'C0995188', 'C0039600', 'C0025815', 'C0069717', 'C0018513', 'C0005310', 'C3853822', 'C0078257', 'C0120107', 'C1506770', 'C4049146', 'C2974289', 'C0033308', 'C0026256', 'C0051556', 'C0020402', 'C1176309', 'C0051113', 'C2935436', 'C0039871', 'C3658706', 'C0032950', 'C0032952', 'C0041920', 'C1707080', 'C0246421', 'C0011707', 'C2986924', 'C2987648', 'C4079854', 'C0039286', 'C0059874']","[('Breast Cancer',), ('Lung Cancer', 'Kidney Cancer', 'Melanoma'), ('Colon and Rectal Cancer',), ('Leukemia', 'Non-Hodgkin Lymphoma'), ('Non-Hodgkin Lymphoma',), ('Leukemia', 'Lung Cancer', 'Melanoma'), ('Melanoma',), ('Leukemia', 'Non-Hodgkin Lymphoma', 'Breast Cancer', 'Lung Cancer'), ('Breast Cancer', 'Lung Cancer', 'Kidney Cancer', 'Colon and Rectal Cancer'), ('Non-Hodgkin Lymphoma', 'Breast Cancer'), ('Leukemia', 'Non-Hodgkin Lymphoma', 'Lung Cancer'), ('Lung Cancer',), ('Non-Hodgkin Lymphoma', 'Kidney Cancer'), ('Leukemia', 'Melanoma'), ('Breast Cancer', 'Kidney Cancer'), ('Lung Cancer', 'Melanoma'), ('Kidney Cancer',)]",C0023449,104
Leukemia,C0004475,"['C4086264', 'C0040864', 'C0008163', 'C0728747', 'C0016360', 'C0071836', 'C3853921', 'C0065879', 'C0040987', 'C0025677', 'C0044401', 'C0290883', 'C0002555', 'C0796392', 'C0393022', 'C0013089', 'C4726900', 'C0066700', 'C2698692', 'C0042679', 'C0717670', 'C4683810', 'C0671970', 'C0672708', 'C0016366', 'C4078312', 'C3899947', 'C0021735', 'C0039601', 'C0144576', 'C2604307', 'C0010583', 'C1135132', 'C0851344', 'C2742502', 'C0014582', 'C0072980', 'C1122962', 'C2980094', 'C2352806', 'C3467876', 'C4079208', 'C3852841', 'C0015133', 'C1997549', 'C0039607', 'C0995188', 'C4056441', 'C1831828', 'C0005308', 'C0039600', 'C0025815', 'C0025147', 'C0018513', 'C1721300', 'C3853822', 'C0078257', 'C0120107', 'C3181682', 'C1506770', 'C2974289', 'C0246415', 'C0010927', 'C0040867', 'C0026256', 'C1700874', 'C0040976', 'C0051556', 'C0020402', 'C0039871', 'C0032950', 'C0045093', 'C0041920', 'C1707080', 'C0246421', 'C0011707', 'C2987648', 'C4079854']","[('Breast Cancer',), ('Colon and Rectal Cancer',), ('Leukemia', 'Non-Hodgkin Lymphoma'), ('Melanoma',), ('Kidney Cancer',), ('Lung Cancer',), ('Leukemia', 'Non-Hodgkin Lymphoma', 'Breast Cancer', 'Lung Cancer'), ('Breast Cancer', 'Lung Cancer', 'Kidney Cancer', 'Colon and Rectal Cancer'), ('Non-Hodgkin Lymphoma', 'Breast Cancer'), ('Non-Hodgkin Lymphoma',), ('Breast Cancer', 'Lung Cancer'), ('Non-Hodgkin Lymphoma', 'Kidney Cancer'), ('Leukemia', 'Melanoma')]",C0023467,78
Leukemia,C0525079,"['C0048306', 'C1176020', 'C2827667', 'C4080091', 'C0055900', 'C0008163', 'C0011705', 'C0728747', 'C0007257', 'C1998098', 'C0016360', 'C0071836', 'C0025033', 'C0040987', 'C1130428', 'C0057992', 'C2987603', 'C0025677', 'C0044401', 'C0290883', 'C0002555', 'C1134659', 'C0796392', 'C0393022', 'C4055433', 'C0013089', 'C0066700', 'C0879427', 'C1516119', 'C1144149', 'C0117996', 'C0042679', 'C0717670', 'C0210657', 'C1135135', 'C4683810', 'C0672708', 'C0016366', 'C4726799', 'C4078312', 'C0146224', 'C3899947', 'C0039601', 'C0010583', 'C1135132', 'C0541315', 'C3501358', 'C0011777', 'C3657270', 'C0014582', 'C0218986', 'C4519167', 'C2713008', 'C2930789', 'C0020268', 'C2980094', 'C2352806', 'C3467876', 'C4079208', 'C3852841', 'C0245194', 'C0750848', 'C4301624', 'C4058811', 'C3818721', 'C2932486', 'C0016294', 'C1367202', 'C1831796', 'C4287815', 'C4045494', 'C4055478', 'C0039607', 'C0995188', 'C1527027', 'C4056441', 'C1831828', 'C0005308', 'C0025815', 'C0069717', 'C0005310', 'C0016299', 'C1721300', 'C0078257', 'C0120107', 'C3181682', 'C4049146', 'C0246415', 'C0056391', 'C0033308', 'C4078806', 'C0026256', 'C1700874', 'C0040976', 'C2697961', 'C0525079', 'C0051556', 'C0042670', 'C0020402', 'C1176309', 'C0039871', 'C3658706', 'C0032950', 'C0032952', 'C0041920', 'C1707080', 'C0246421', 'C2987648', 'C0059874']","[('Breast Cancer',), ('Lung Cancer', 'Kidney Cancer', 'Melanoma'), ('Leukemia', 'Melanoma'), ('Colon and Rectal Cancer',), ('Leukemia', 'Non-Hodgkin Lymphoma'), ('Non-Hodgkin Lymphoma',), ('Melanoma',), ('Lung Cancer',), ('Leukemia', 'Non-Hodgkin Lymphoma', 'Breast Cancer', 'Lung Cancer'), ('Breast Cancer', 'Lung Cancer', 'Kidney Cancer', 'Colon and Rectal Cancer'), ('Non-Hodgkin Lymphoma', 'Breast Cancer'), ('Leukemia', 'Non-Hodgkin Lymphoma', 'Lung Cancer'), ('Breast Cancer', 'Lung Cancer'), ('Non-Hodgkin Lymphoma', 'Kidney Cancer'), ('Leukemia', 'Kidney Cancer', 'Melanoma'), ('Breast Cancer', 'Kidney Cancer'), ('Lung Cancer', 'Melanoma'), ('Kidney Cancer',)]",C0023434,109
Leukemia,C0005308,"['C4086264', 'C2827667', 'C0040864', 'C0008163', 'C0728747', 'C0007257', 'C0071836', 'C3853921', 'C0025033', 'C0065879', 'C1130428', 'C0057992', 'C2987603', 'C0025677', 'C0044401', 'C0002555', 'C0025826', 'C0796392', 'C1134659', 'C0393022', 'C4055433', 'C0066700', 'C2698692', 'C1516119', 'C0042679', 'C0210657', 'C0042682', 'C0065175', 'C4683810', 'C0016366', 'C4726799', 'C4078312', 'C3899947', 'C1135132', 'C0541315', 'C3501358', 'C3657270', 'C2742502', 'C0014582', 'C0218986', 'C4519167', 'C2713008', 'C2980094', 'C2352806', 'C3467876', 'C4079208', 'C3852841', 'C0015133', 'C0016298', 'C1831796', 'C4287815', 'C4045494', 'C4055478', 'C0877880', 'C0039607', 'C1948068', 'C0995188', 'C1527027', 'C1831828', 'C0005308', 'C0039600', 'C0025815', 'C0069717', 'C0005310', 'C1721300', 'C3853822', 'C0078257', 'C0120107', 'C2974289', 'C0056391', 'C0010927', 'C4078806', 'C0026256', 'C1700874', 'C0040976', 'C2697961', 'C0051556', 'C0042670', 'C0020402', 'C1176309', 'C3658706', 'C0032950', 'C0041920', 'C1707080', 'C0246421', 'C0907349', 'C2987648', 'C4079854', 'C0039286']","[('Melanoma',), ('Non-Hodgkin Lymphoma', 'Kidney Cancer'), ('Breast Cancer',), ('Colon and Rectal Cancer',), ('Leukemia', 'Non-Hodgkin Lymphoma'), ('Non-Hodgkin Lymphoma',), ('Lung Cancer',), ('Leukemia', 'Kidney Cancer', 'Melanoma'), ('Lung Cancer', 'Melanoma'), ('Kidney Cancer',), ('Leukemia', 'Non-Hodgkin Lymphoma', 'Breast Cancer', 'Lung Cancer'), ('Breast Cancer', 'Lung Cancer'), ('Leukemia', 'Non-Hodgkin Lymphoma', 'Lung Cancer'), ('Breast Cancer', 'Kidney Cancer'), ('Lung Cancer', 'Kidney Cancer', 'Melanoma'), ('Leukemia', 'Lung Cancer', 'Melanoma'), ('Breast Cancer', 'Lung Cancer', 'Kidney Cancer', 'Colon and Rectal Cancer'), ('Non-Hodgkin Lymphoma', 'Breast Cancer'), ('Leukemia', 'Melanoma')]",C0024305,89
Leukemia,C0005310,"['C0048306', 'C0117996', 'C2713008', 'C0005310', 'C0020268', 'C0016299', 'C4086264', 'C1721300', 'C2827667', 'C3853822', 'C2987430', 'C4080091', 'C0078257', 'C3467876', 'C0008163', 'C0011705', 'C4683810', 'C0007257', 'C0025684', 'C3852841', 'C4049146', 'C0245194', 'C2973446', 'C0672708', 'C0071836', 'C4301624', 'C0016360', 'C0246415', 'C0015133', 'C0016366', 'C0056391', 'C4726799', 'C4078312', 'C0016298', 'C4058811', 'C0025033', 'C0021735', 'C2932486', 'C0039601', 'C1831796', 'C4287815', 'C2980094', 'C4045494', 'C0040866', 'C2697961', 'C0010583', 'C0057992', 'C2987603', 'C0042670', 'C0765273', 'C1135132', 'C0541315', 'C0796392', 'C1176309', 'C0393022', 'C1134659', 'C0051113', 'C4055433', 'C1328025', 'C2935436', 'C1527027', 'C3657270', 'C0032952', 'C4056441', 'C0014582', 'C1707080', 'C0005308', 'C0218986', 'C0072980', 'C0907349', 'C4079854', 'C0069717', 'C0039286', 'C0059874', 'C4519167']","[('Breast Cancer',), ('Lung Cancer', 'Kidney Cancer', 'Melanoma'), ('Leukemia', 'Melanoma'), ('Colon and Rectal Cancer',), ('Leukemia', 'Non-Hodgkin Lymphoma'), ('Non-Hodgkin Lymphoma',), ('Melanoma',), ('Lung Cancer',), ('Breast Cancer', 'Lung Cancer', 'Kidney Cancer', 'Colon and Rectal Cancer'), ('Non-Hodgkin Lymphoma', 'Breast Cancer'), ('Leukemia', 'Non-Hodgkin Lymphoma', 'Lung Cancer'), ('Breast Cancer', 'Lung Cancer'), ('Non-Hodgkin Lymphoma', 'Kidney Cancer'), ('Leukemia', 'Kidney Cancer', 'Melanoma'), ('Breast Cancer', 'Kidney Cancer'), ('Kidney Cancer',)]",C0024305,75
Leukemia,C3853839,,,C0349636,0
Leukemia,C2699709,"['C0048306', 'C1176020', 'C2827667', 'C4080091', 'C0040864', 'C0008163', 'C0011705', 'C0728747', 'C0063077', 'C1998098', 'C2973446', 'C0071836', 'C0040987', 'C0057992', 'C0053523', 'C2987603', 'C0393022', 'C1328025', 'C4055433', 'C0066700', 'C4726900', 'C0879427', 'C1144149', 'C0117996', 'C0717670', 'C0210657', 'C0123931', 'C0065175', 'C0672708', 'C3899947', 'C0021735', 'C0076181', 'C0039601', 'C2604307', 'C0040866', 'C0010583', 'C1135132', 'C0541315', 'C3501358', 'C0011777', 'C3657270', 'C0014582', 'C0218986', 'C2980094', 'C2352806', 'C3467876', 'C4079208', 'C3852841', 'C0245194', 'C0750848', 'C3818721', 'C0016298', 'C1831796', 'C4287815', 'C1997549', 'C0039607', 'C0770560', 'C1948068', 'C0995188', 'C1527027', 'C4056441', 'C1831828', 'C0005308', 'C0039600', 'C0069717', 'C0025147', 'C0018513', 'C0016299', 'C1721300', 'C0078257', 'C3181682', 'C1506770', 'C0246415', 'C0056391', 'C0010927', 'C0033308', 'C4078806', 'C0026256', 'C1700874', 'C0040976', 'C2697961', 'C0525079', 'C0042670', 'C0020402', 'C0005740', 'C1176309', 'C0039871', 'C0032950', 'C0032952', 'C0045093', 'C0246421', 'C0011707', 'C0059874']","[('Breast Cancer',), ('Lung Cancer', 'Kidney Cancer', 'Melanoma'), ('Colon and Rectal Cancer',), ('Leukemia', 'Non-Hodgkin Lymphoma'), ('Melanoma',), ('Kidney Cancer',), ('Breast Cancer', 'Lung Cancer'), ('Non-Hodgkin Lymphoma',), ('Lung Cancer',), ('Non-Hodgkin Lymphoma', 'Breast Cancer'), ('Leukemia', 'Kidney Cancer', 'Melanoma'), ('Breast Cancer', 'Kidney Cancer'), ('Leukemia', 'Melanoma')]",C1531702,93
Leukemia,C0008163,"['C0048306', 'C2827667', 'C4080091', 'C0040864', 'C0008163', 'C0011705', 'C0728747', 'C0007257', 'C1998098', 'C2973446', 'C0071836', 'C3853921', 'C0025033', 'C0065879', 'C0040987', 'C1130428', 'C0057992', 'C0053523', 'C2987603', 'C0044401', 'C0002555', 'C0796392', 'C0393022', 'C4055433', 'C0066700', 'C1516119', 'C1144149', 'C0117996', 'C0042679', 'C0717670', 'C0123931', 'C0042682', 'C2987430', 'C4683810', 'C0672708', 'C0146224', 'C4078312', 'C3899947', 'C0039601', 'C0010583', 'C1135132', 'C0541315', 'C3501358', 'C0011777', 'C3657270', 'C0014582', 'C0218986', 'C0072980', 'C2713008', 'C2930789', 'C2980094', 'C2352806', 'C3467876', 'C4079208', 'C3852841', 'C0750848', 'C4301624', 'C2932486', 'C0016294', 'C1367202', 'C1831796', 'C4287815', 'C4055478', 'C0039607', 'C0770560', 'C0995188', 'C1527027', 'C4056441', 'C1831828', 'C0005308', 'C0069717', 'C0025147', 'C0018513', 'C0005310', 'C0016299', 'C1721300', 'C0078257', 'C0120107', 'C0246415', 'C0056391', 'C0026256', 'C1700874', 'C0040976', 'C2697961', 'C0525079', 'C0042670', 'C1176309', 'C0039871', 'C0032950', 'C0032952', 'C0045093', 'C1707080', 'C0011707', 'C0059874']","[('Breast Cancer',), ('Lung Cancer', 'Kidney Cancer', 'Melanoma'), ('Colon and Rectal Cancer',), ('Leukemia', 'Non-Hodgkin Lymphoma'), ('Non-Hodgkin Lymphoma',), ('Leukemia', 'Lung Cancer', 'Melanoma'), ('Melanoma',), ('Lung Cancer',), ('Breast Cancer', 'Lung Cancer', 'Kidney Cancer', 'Colon and Rectal Cancer'), ('Non-Hodgkin Lymphoma', 'Breast Cancer'), ('Leukemia', 'Non-Hodgkin Lymphoma', 'Lung Cancer'), ('Breast Cancer', 'Lung Cancer'), ('Non-Hodgkin Lymphoma', 'Kidney Cancer'), ('Leukemia', 'Kidney Cancer', 'Melanoma'), ('Breast Cancer', 'Kidney Cancer'), ('Kidney Cancer',)]",C0023434,94
